,weight,BNPL1,BNPL3,BNPL4_a,BNPL4_b,BNPL4_c,BNPL4_d,BNPL4_e,BNPL4_f,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,I20,ppfs0596,ppeducat,ppage,ppagecat,ppethm,ppgender,ppinc7,ppemploy,ppmarit5,pphhsize,ppkid017,ppfs1482,SL6,B3,A6,C4A,EF1,L0C,I41_c,I41_e,A1_a,A1_b,A1_c,X12_a,X12_b,X12_c,X12_d,X12_e,X12_f,X12_g,EF5C,year
11404,0.7155,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,63,55-64,"Other, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Now married,3,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,,,,,,,,,,,Yes,2024
11405,2.2919,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,The same as your income,,No high school diploma or GED,43,35-44,"Black, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,2,0,Good,,About the same,Very confident,Most or all of the time,No,,No,,No,Yes,No,,,,,,,,Yes,2024
11406,1.0476,No,,,,,,,,No,Yes,No,No,No,No,No,No,The same as your income,,Some college or Associate's degree,23,18-24,"White, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Never married,3,1,Fair,,Somewhat better off,Not confident,Most or all of the time,No,1,No,No,,,,Not a concern,Major concern,Minor concern,Major concern,Minor concern,Major concern,Not a concern,Yes,2024
11407,1.042,No,,,,,,,,No,Yes,No,No,No,No,No,No,Less than your income,,Some college or Associate's degree,55,55-64,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,2,0,,,About the same,Very confident,Most or all of the time,Yes,1,No,Yes,,,,Not a concern,Minor concern,Minor concern,Minor concern,Not a concern,Not a concern,Not a concern,Yes,2024
11408,0.3874,No,,,,,,,,No,No,No,Yes,No,No,No,No,The same as your income,,Some college or Associate's degree,63,55-64,"2+ Races, Non-Hispanic",Female,"$100,000 to $149,999",Working full-time,Now married,2,0,,,Somewhat worse off,Somewhat confident,Most or all of the time,Yes,,No,,Yes,Yes,Yes,,,,,,,,Yes,2024
11409,0.9492,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,Some college or Associate's degree,50,45-54,"White, Non-Hispanic",Female,"$100,000 to $149,999",Working full-time,Now married,2,0,,,Somewhat worse off,Very confident,Some of the time,No,,No,,No,No,No,Minor concern,Major concern,Minor concern,Major concern,Minor concern,Major concern,Major concern,Yes,2024
11410,1.7806,No,,,,,,,,No,No,No,No,No,No,No,Yes,The same as your income,,High school graduate (high school diploma or the equivalent GED),25,25-34,Hispanic,Female,"$25,000 to $49,999",Working part-time,Now married,4,2,,,Somewhat worse off,Not confident,,No,4,Yes,No,,,,,,,,,,,Yes,2024
11411,0.1788,No,,,,,,,,No,Yes,No,No,No,No,No,No,More than your income,,Bachelor's degree or higher,46,45-54,"2+ Races, Non-Hispanic",Male,"$50,000 to $74,999",Working full-time,Now married,2,0,,,About the same,Somewhat confident,Most or all of the time,Yes,,No,,No,No,No,Not a concern,Major concern,Major concern,Minor concern,Major concern,Minor concern,Not a concern,Yes,2024
11412,0.6306,No,,,,,,,,No,No,No,No,No,No,Yes,No,More than your income,,High school graduate (high school diploma or the equivalent GED),21,18-24,"2+ Races, Non-Hispanic",Female,"$25,000 to $49,999",Working full-time,Never married,3,0,Poor,,About the same,Somewhat confident,,Yes,,No,,,,,Major concern,Major concern,Major concern,Minor concern,Major concern,Major concern,Major concern,No,2024
11413,0.7627,No,,,,,,,,No,No,Yes,No,No,No,Yes,No,The same as your income,,Some college or Associate's degree,64,55-64,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working part-time,Now married,2,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,,,,Not a concern,Minor concern,Not a concern,Minor concern,Not a concern,Minor concern,Not a concern,Yes,2024
